PC1,PC2,cluster
-1.8131191406227274,-1.6198127342431146,1
-1.4824586898180987,-0.3238630523121686,1
0.6821766358122696,-0.7865556550552233,1
-1.1657218852048314,-0.03385989806835508,1
-1.9291026405484304,-0.7522012657763064,1
-1.4343814177741492,-1.5139832098764365,1
0.2417018541498616,0.2916845557017555,1
-1.3114265290965925,0.07563668564360584,1
-0.6085039289469767,-1.1066962910835025,1
4.600496605697176,-0.7044276474912351,0
-0.5766921823244485,0.21691267654438748,1
0.01794160636903691,0.3666575002537114,1
-0.8398547201199331,1.7176340449556096,1
5.911875463126655,-1.3533457702972183,0
-0.7787458622367166,-0.0643925945637251,1
-2.068901974793739,-0.1360223630897484,1
1.6153337325258896,0.2016054920790497,0
2.406599714481293,0.490242943593826,0
0.6642904511891718,-0.910821633269205,1
-0.0364485573620079,-0.6497149174355626,1
4.125863815088785,1.0666401229227302,0
0.785527050782185,2.2771961944012733,1
0.47167526430309886,-1.8719753510645052,1
-1.6040567559148224,0.5749689409829888,1
5.057575427834358,0.8943006231863133,0
-1.6672406509287712,1.5848249466133608,1
0.40812716464155885,-0.8852038386463531,1
-1.2942933476008216,-0.1397454290739574,1
-3.079701806676759,-0.23147131427919992,1
3.9151910100394347,0.6267928901902473,0
-0.5171429763041866,1.6127082441297393,1
-2.093006545041361,-2.377871612359035,1
-2.63090994873119,0.5994678353677898,1
3.470367181313973,-1.24389368025768,0
-1.6901977158021855,-1.7474770719694597,1
-1.5377330179556625,0.7913166328042351,1
-0.33254745068343455,1.735952638601113,1
-0.18928812902475012,0.15258508162626003,1
1.3113425627268362,0.12571750619227012,0
3.1659740355463106,0.45474232595382796,0
-1.1005114316651152,-1.4393621703501862,1
-3.2817554865890264,-0.5127765853873124,1
-0.04358156932492437,0.23648495964107635,1
2.166410071775428,0.5092412489607018,0
-2.987874671026593,1.0305610921033266,1
1.177126409511654,-1.4572003737260646,1
-1.5618893822312023,2.920960507653569,1
-0.13528312309236454,-1.1037649500985183,1
1.185897749183896,-0.6182880720819856,1
-1.2949097292303944,1.732585401018926,1
3.8903426559059384,0.8884029786607206,0
0.559983337612518,-1.3097638026398508,1
0.03445840623523514,2.023606215629032,1
3.4432009741192746,0.39354912250768675,0
0.73518625080071,-1.1740151570018578,1
-0.26946855652505114,2.2648700930098236,1
-3.9666848853470142,0.35037795079657147,1
-1.281916719927627,1.024810494897258,1
0.38923991281903264,0.2811531428934129,1
-0.8760646550809875,2.862768525461254,1
-1.360207310504815,-0.37246226295016627,1
-0.06941646093690458,-1.288656501329721,1
0.9382548774537153,0.25343785055754176,1
-0.11706378684120165,0.06106521953856635,1
-1.9980061751822007,-0.3992158868224012,1
2.742650103887316,0.4047174973078199,0
1.9041888884052613,0.5110747786333435,0
0.8933890565222413,0.41562582744389226,1
2.282926611253835,0.6169043030000203,0
0.33389194399795263,-1.4002716716804087,1
-1.870051094415783,1.5790004742760846,1
0.002232341801962806,-1.2122019321308288,1
-1.6730310704493954,-0.2455749534406345,1
1.1730841468835032,-0.5344262120042096,1
-0.07254495442930506,0.15798889936809055,1
-1.6745427804711943,0.8217933226606794,1
-0.9808348506453536,-1.2544567454890678,1
-0.5941503366159644,0.058851799907647856,1
-0.5770171551201936,-0.15653031480991508,1
-1.7078304729936373,-0.7900852465116344,1
-1.9980061751822007,-0.3992158868224012,1
-0.09860648115832384,-1.2648933253052188,1
-0.28658750558103885,-0.6129123388678931,1
-0.1452106197169742,-1.2580098680088654,1
